"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Time First Seen","hs_analytics_first_timestamp","datetime","The first activity for any contact associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time Last Seen","hs_analytics_last_timestamp","datetime","Time last seen across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time of Last Session","hs_analytics_last_visit_timestamp","datetime","Time of the last session attributed to any contacts that are associated with this company record.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Number of Pageviews","hs_analytics_num_page_views","number","Total number of page views across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Number of Sessions","hs_analytics_num_visits","number","Total number of sessions across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","Last Meeting Booked for any contact associated with this Company/Organization.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Booked Meeting Date","hs_last_booked_meeting_date","datetime","The last date of booked meetings associated with the company","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Logged Call Date","hs_last_logged_call_date","datetime","The last date of logged calls associated with the company","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Open Task Date","hs_last_open_task_date","datetime","The last due date of open tasks associated with the company","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Engagement Date","hs_last_sales_activity_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this company. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a company. This is set automatically by HubSpot based on user actions in the company record.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Activity Date","notes_last_updated","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a company. This is set automatically by HubSpot based on user actions in the company record.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
"Next Activity Date","notes_next_activity_date","datetime","Date of the next upcoming scheduled sales activity for this company record.","company_activity","false","","true","true","false","false","false","true","HubSpot",""
