"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Price EUR","hs_price_eur","number","Price in Euro","multi_currency_prices","false","","false","true","false","false","false","true","HubSpot",""
"Unit cost","hs_cost_of_goods_sold","number","The amount that sold goods cost the HubSpot customer","price","false","","false","true","false","false","false","true","HubSpot",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a product with recurring billing is billed. It informs the pricing calculation for deals and quotes. Products with one-time billing aren’t included.","price","false","[{""label"":""Monthly"",""value"":""monthly"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Quarterly"",""value"":""quarterly"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Semi-annually"",""value"":""per_six_months"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Annually"",""value"":""annually"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every two years"",""value"":""per_two_years"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every three years"",""value"":""per_three_years"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Every four years"",""value"":""per_four_years"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Every five years"",""value"":""per_five_years"",""displayOrder"":7,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Create Date","createdate","datetime","The date the product was created","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Product description","description","string","Full description of product","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Image Url","hs_images","string","Product images.","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Last Modified Date","hs_lastmodifieddate","datetime","The date any property on this product was modified","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","productinformation","false","","true","true","false","true","false","true","HubSpot",""
"Product Type","hs_product_type","enumeration","The type of product. By default, categorize your product as either Inventory, Non-Inventory or Service.","productinformation","false","[{""label"":""Inventory"",""value"":""inventory"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Non-Inventory"",""value"":""non_inventory"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Service"",""value"":""service"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","true","HubSpot",""
"SKU","hs_sku","string","Unique product identifier","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"URL","hs_url","string","Product url.","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","productinformation","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","productinformation","false","","false","true","false","true","false","true","HubSpot",""
"Name","name","string","Product name","productinformation","false","","false","true","false","false","false","true","HubSpot",""
"Term (Months)","hs_recurring_billing_period","string","Product recurring billing duration","term","false","","false","true","false","false","false","true","HubSpot",""
